날짜,종가,시가,고가,저가,거래량,변동 %,요일,횟수
2022-01-03,"2,988.77","2,998.32","3,010.77","2,979.42",435.82M,0.37%,월,227
2022-01-04,"2,989.24","2,991.97","2,995.25","2,973.08",621.55M,0.02%,화,237
2022-01-05,"2,953.97","2,984.05","2,986.20","2,936.73",787.35M,-1.18%,수,234
2022-01-06,"2,920.53","2,925.40","2,952.54","2,915.38",786.04M,-1.13%,목,276
2022-01-07,"2,954.89","2,933.78","2,959.03","2,933.10",546.17M,1.18%,금,304
2022-01-08,"2,954.89","2,933.78","2,959.03","2,933.10",546.17M,1.18%,토,330
2022-01-09,"2,954.89","2,933.78","2,959.03","2,933.10",546.17M,1.18%,일,300
2022-01-10,"2,926.72","2,947.37","2,951.12","2,910.90",477.40M,-0.95%,월,255
2022-01-11,"2,927.38","2,930.93","2,943.57","2,909.82",566.17M,0.02%,화,224
2022-01-12,"2,972.48","2,950.78","2,972.58","2,950.31",519.50M,1.54%,수,245
2022-01-13,"2,962.09","2,979.91","2,982.14","2,958.39",604.87M,-0.35%,목,251
2022-01-14,"2,921.92","2,937.61","2,944.97","2,914.73",532.67M,-1.36%,금,279
2022-01-15,"2,921.92","2,937.61","2,944.97","2,914.73",532.67M,-1.36%,토,348
2022-01-16,"2,921.92","2,937.61","2,944.97","2,914.73",532.67M,-1.36%,일,277
2022-01-17,"2,890.10","2,918.55","2,919.67","2,875.98",593.26M,-1.09%,월,215
2022-01-18,"2,864.24","2,898.98","2,902.79","2,857.26",554.04M,-0.89%,화,275
2022-01-19,"2,842.28","2,840.34","2,871.79","2,832.18",463.83M,-0.77%,수,252
2022-01-20,"2,862.68","2,842.28","2,862.70","2,830.97",395.67M,0.72%,목,300
2022-01-21,"2,834.29","2,837.49","2,847.95","2,817.11",532.75M,-0.99%,금,325
2022-01-22,"2,834.29","2,837.49","2,847.95","2,817.11",532.75M,-0.99%,토,360
2022-01-23,"2,834.29","2,837.49","2,847.95","2,817.11",532.75M,-0.99%,일,294
2022-01-24,"2,792.00","2,823.76","2,828.11","2,780.68",473.99M,-1.49%,월,226
2022-01-25,"2,720.39","2,786.41","2,789.62","2,703.99",639.96M,-2.56%,화,290
2022-01-26,"2,709.24","2,729.75","2,744.14","2,708.10",472.65M,-0.41%,수,288
2022-01-27,"2,614.49","2,709.24","2,722.86","2,614.49",487.73M,-3.50%,목,316
2022-01-28,"2,663.34","2,617.87","2,668.59","2,591.53",434.19M,1.87%,금,330
2022-01-29,"2,663.34","2,617.87","2,668.59","2,591.53",434.19M,1.87%,토,296
2022-01-30,"2,663.34","2,617.87","2,668.59","2,591.53",434.19M,1.87%,일,283
2022-01-31,"2,663.34","2,617.87","2,668.59","2,591.53",434.19M,1.87%,월,227
2022-02-01,"2,663.34","2,617.87","2,668.59","2,591.53",434.19M,1.87%,화,234
2022-02-02,"2,663.34","2,617.87","2,668.59","2,591.53",434.19M,1.87%,수,247
2022-02-03,"2,707.82","2,706.34","2,735.34","2,702.78",435.71M,1.67%,목,190
2022-02-04,"2,750.26","2,714.83","2,751.80","2,712.87",536.15M,1.57%,금,209
2022-02-05,"2,750.26","2,714.83","2,751.80","2,712.87",536.15M,1.57%,토,215
2022-02-06,"2,750.26","2,714.83","2,751.80","2,712.87",536.15M,1.57%,일,205
